criterion,missingness_name,missingness_mechanism,missingness_scope,availability_bucket,n_decisions,n_flips,flip_rate
accuracy_constrained_equalized_odds,none_observed,mcar,train_and_prediction,0.0,560,371,0.6625
accuracy_constrained_equalized_odds,mcar_10_train_prediction,mcar,train_and_prediction,0.1,560,275,0.49107142857142855
accuracy_constrained_equalized_odds,mnar_10_train_prediction,mnar,train_and_prediction,0.1,560,279,0.4982142857142857
accuracy_constrained_equalized_odds,mcar_20_train_prediction,mcar,train_and_prediction,0.2,560,247,0.44107142857142856
accuracy_constrained_equalized_odds,mnar_20_train_prediction,mnar,train_and_prediction,0.2,560,283,0.5053571428571428
accuracy_constrained_equalized_odds,mcar_40_train_prediction,mcar,train_and_prediction,0.4,560,248,0.44285714285714284
accuracy_constrained_equalized_odds,mcar_50_train_prediction,mcar,train_and_prediction,0.5,560,231,0.4125
accuracy_constrained_equalized_odds,mnar_50_train_prediction,mnar,train_and_prediction,0.5,560,268,0.4785714285714286
accuracy_constrained_equalized_odds,mcar_60_train_prediction,mcar,train_and_prediction,0.6,560,220,0.39285714285714285
accuracy_constrained_equalized_odds,mcar_80_train_prediction,mcar,train_and_prediction,0.8,560,214,0.3821428571428571
demographic_parity,none_observed,mcar,train_and_prediction,0.0,560,408,0.7285714285714285
demographic_parity,mcar_10_train_prediction,mcar,train_and_prediction,0.1,560,220,0.39285714285714285
demographic_parity,mnar_10_train_prediction,mnar,train_and_prediction,0.1,560,246,0.4392857142857143
demographic_parity,mcar_20_train_prediction,mcar,train_and_prediction,0.2,560,202,0.3607142857142857
demographic_parity,mnar_20_train_prediction,mnar,train_and_prediction,0.2,560,226,0.4035714285714286
demographic_parity,mcar_40_train_prediction,mcar,train_and_prediction,0.4,560,173,0.30892857142857144
demographic_parity,mcar_50_train_prediction,mcar,train_and_prediction,0.5,560,162,0.2892857142857143
demographic_parity,mnar_50_train_prediction,mnar,train_and_prediction,0.5,560,179,0.3196428571428571
demographic_parity,mcar_60_train_prediction,mcar,train_and_prediction,0.6,560,153,0.2732142857142857
demographic_parity,mcar_80_train_prediction,mcar,train_and_prediction,0.8,560,126,0.225
intersectional_equalized_odds,none_observed,mcar,train_and_prediction,0.0,560,322,0.575
intersectional_equalized_odds,mcar_10_train_prediction,mcar,train_and_prediction,0.1,560,224,0.4
intersectional_equalized_odds,mnar_10_train_prediction,mnar,train_and_prediction,0.1,560,237,0.4232142857142857
intersectional_equalized_odds,mcar_20_train_prediction,mcar,train_and_prediction,0.2,560,222,0.3964285714285714
intersectional_equalized_odds,mnar_20_train_prediction,mnar,train_and_prediction,0.2,560,229,0.4089285714285714
intersectional_equalized_odds,mcar_40_train_prediction,mcar,train_and_prediction,0.4,560,179,0.3196428571428571
intersectional_equalized_odds,mcar_50_train_prediction,mcar,train_and_prediction,0.5,560,177,0.31607142857142856
intersectional_equalized_odds,mnar_50_train_prediction,mnar,train_and_prediction,0.5,560,204,0.36428571428571427
intersectional_equalized_odds,mcar_60_train_prediction,mcar,train_and_prediction,0.6,560,167,0.2982142857142857
intersectional_equalized_odds,mcar_80_train_prediction,mcar,train_and_prediction,0.8,560,146,0.26071428571428573
worst_group_accuracy,none_observed,mcar,train_and_prediction,0.0,560,285,0.5089285714285714
worst_group_accuracy,mcar_10_train_prediction,mcar,train_and_prediction,0.1,560,254,0.45357142857142857
worst_group_accuracy,mnar_10_train_prediction,mnar,train_and_prediction,0.1,560,255,0.45535714285714285
worst_group_accuracy,mcar_20_train_prediction,mcar,train_and_prediction,0.2,560,234,0.41785714285714287
worst_group_accuracy,mnar_20_train_prediction,mnar,train_and_prediction,0.2,560,255,0.45535714285714285
worst_group_accuracy,mcar_40_train_prediction,mcar,train_and_prediction,0.4,560,242,0.43214285714285716
worst_group_accuracy,mcar_50_train_prediction,mcar,train_and_prediction,0.5,560,219,0.39107142857142857
worst_group_accuracy,mnar_50_train_prediction,mnar,train_and_prediction,0.5,560,223,0.3982142857142857
worst_group_accuracy,mcar_60_train_prediction,mcar,train_and_prediction,0.6,560,197,0.3517857142857143
worst_group_accuracy,mcar_80_train_prediction,mcar,train_and_prediction,0.8,560,195,0.3482142857142857
