method,availability_bucket,metric,n_pairs,delta_mnar_vs_mcar
erm,0.1,accuracy,560,0.0
erm,0.2,accuracy,560,0.0
erm,0.5,accuracy,560,0.0
erm,0.1,balanced_accuracy,560,0.0
erm,0.2,balanced_accuracy,560,0.0
erm,0.5,balanced_accuracy,560,0.0
erm,0.1,brier,560,0.0
erm,0.2,brier,560,0.0
erm,0.5,brier,560,0.0
erm,0.1,rac1p_demographic_parity_diff,560,0.0
erm,0.2,rac1p_demographic_parity_diff,560,0.0
erm,0.5,rac1p_demographic_parity_diff,560,0.0
erm,0.1,rac1p_equalized_odds_diff,560,0.0
erm,0.2,rac1p_equalized_odds_diff,560,0.0
erm,0.5,rac1p_equalized_odds_diff,560,0.0
erm,0.1,rac1p_worst_group_accuracy,560,0.0
erm,0.2,rac1p_worst_group_accuracy,560,0.0
erm,0.5,rac1p_worst_group_accuracy,560,0.0
erm,0.1,rac1p_x_sex_demographic_parity_diff,560,0.0
erm,0.2,rac1p_x_sex_demographic_parity_diff,560,0.0
erm,0.5,rac1p_x_sex_demographic_parity_diff,560,0.0
erm,0.1,rac1p_x_sex_equalized_odds_diff,560,0.0
erm,0.2,rac1p_x_sex_equalized_odds_diff,560,0.0
erm,0.5,rac1p_x_sex_equalized_odds_diff,560,0.0
erm,0.1,rac1p_x_sex_worst_group_accuracy,560,0.0
erm,0.2,rac1p_x_sex_worst_group_accuracy,560,0.0
erm,0.5,rac1p_x_sex_worst_group_accuracy,560,0.0
erm,0.1,roc_auc,560,0.0
erm,0.2,roc_auc,560,0.0
erm,0.5,roc_auc,560,0.0
erm,0.1,sex_demographic_parity_diff,560,0.0
erm,0.2,sex_demographic_parity_diff,560,0.0
erm,0.5,sex_demographic_parity_diff,560,0.0
erm,0.1,sex_equalized_odds_diff,560,0.0
erm,0.2,sex_equalized_odds_diff,560,0.0
erm,0.5,sex_equalized_odds_diff,560,0.0
erm,0.1,sex_worst_group_accuracy,560,0.0
erm,0.2,sex_worst_group_accuracy,560,0.0
erm,0.5,sex_worst_group_accuracy,560,0.0
feature_mixing,0.1,accuracy,560,0.0
feature_mixing,0.2,accuracy,560,0.0
feature_mixing,0.5,accuracy,560,0.0
feature_mixing,0.1,balanced_accuracy,560,0.0
feature_mixing,0.2,balanced_accuracy,560,0.0
feature_mixing,0.5,balanced_accuracy,560,0.0
feature_mixing,0.1,brier,560,0.0
feature_mixing,0.2,brier,560,0.0
feature_mixing,0.5,brier,560,0.0
feature_mixing,0.1,rac1p_demographic_parity_diff,560,0.0
feature_mixing,0.2,rac1p_demographic_parity_diff,560,0.0
feature_mixing,0.5,rac1p_demographic_parity_diff,560,0.0
feature_mixing,0.1,rac1p_equalized_odds_diff,560,0.0
feature_mixing,0.2,rac1p_equalized_odds_diff,560,0.0
feature_mixing,0.5,rac1p_equalized_odds_diff,560,0.0
feature_mixing,0.1,rac1p_worst_group_accuracy,560,0.0
feature_mixing,0.2,rac1p_worst_group_accuracy,560,0.0
feature_mixing,0.5,rac1p_worst_group_accuracy,560,0.0
feature_mixing,0.1,rac1p_x_sex_demographic_parity_diff,560,0.0
feature_mixing,0.2,rac1p_x_sex_demographic_parity_diff,560,0.0
feature_mixing,0.5,rac1p_x_sex_demographic_parity_diff,560,0.0
feature_mixing,0.1,rac1p_x_sex_equalized_odds_diff,560,0.0
feature_mixing,0.2,rac1p_x_sex_equalized_odds_diff,560,0.0
feature_mixing,0.5,rac1p_x_sex_equalized_odds_diff,560,0.0
feature_mixing,0.1,rac1p_x_sex_worst_group_accuracy,560,0.0
feature_mixing,0.2,rac1p_x_sex_worst_group_accuracy,560,0.0
feature_mixing,0.5,rac1p_x_sex_worst_group_accuracy,560,0.0
feature_mixing,0.1,roc_auc,560,0.0
feature_mixing,0.2,roc_auc,560,0.0
feature_mixing,0.5,roc_auc,560,0.0
feature_mixing,0.1,sex_demographic_parity_diff,560,0.0
feature_mixing,0.2,sex_demographic_parity_diff,560,0.0
feature_mixing,0.5,sex_demographic_parity_diff,560,0.0
feature_mixing,0.1,sex_equalized_odds_diff,560,0.0
feature_mixing,0.2,sex_equalized_odds_diff,560,0.0
feature_mixing,0.5,sex_equalized_odds_diff,560,0.0
feature_mixing,0.1,sex_worst_group_accuracy,560,0.0
feature_mixing,0.2,sex_worst_group_accuracy,560,0.0
feature_mixing,0.5,sex_worst_group_accuracy,560,0.0
protected_group_mixing,0.1,accuracy,560,-0.0006331391657542295
protected_group_mixing,0.2,accuracy,560,-0.0005712430173697239
protected_group_mixing,0.5,accuracy,560,-0.0006530790760659392
protected_group_mixing,0.1,balanced_accuracy,560,-0.001192205707751201
protected_group_mixing,0.2,balanced_accuracy,560,-0.0010627273836208572
protected_group_mixing,0.5,balanced_accuracy,560,-0.0015841784138597335
protected_group_mixing,0.1,brier,560,0.00031512062512795044
protected_group_mixing,0.2,brier,560,0.0003940113269963605
protected_group_mixing,0.5,brier,560,0.0003237971198997518
protected_group_mixing,0.1,rac1p_demographic_parity_diff,560,-0.0028456775351577285
protected_group_mixing,0.2,rac1p_demographic_parity_diff,560,0.0026246647877473154
protected_group_mixing,0.5,rac1p_demographic_parity_diff,560,-0.0013252082347620841
protected_group_mixing,0.1,rac1p_equalized_odds_diff,560,-0.008617500808064399
protected_group_mixing,0.2,rac1p_equalized_odds_diff,560,0.0040786578609484135
protected_group_mixing,0.5,rac1p_equalized_odds_diff,560,-0.0008653080243779768
protected_group_mixing,0.1,rac1p_worst_group_accuracy,560,-0.0002678511601063564
protected_group_mixing,0.2,rac1p_worst_group_accuracy,560,-0.0006881624061265556
protected_group_mixing,0.5,rac1p_worst_group_accuracy,560,-0.0011405494907314243
protected_group_mixing,0.1,rac1p_x_sex_demographic_parity_diff,560,-0.0033042290322591525
protected_group_mixing,0.2,rac1p_x_sex_demographic_parity_diff,560,0.0021534933342003113
protected_group_mixing,0.5,rac1p_x_sex_demographic_parity_diff,560,-0.0009510092599244752
protected_group_mixing,0.1,rac1p_x_sex_equalized_odds_diff,560,-0.006430950403006785
protected_group_mixing,0.2,rac1p_x_sex_equalized_odds_diff,560,0.003786185324638611
protected_group_mixing,0.5,rac1p_x_sex_equalized_odds_diff,560,0.0004265346880757893
protected_group_mixing,0.1,rac1p_x_sex_worst_group_accuracy,560,-0.0002067674845018564
protected_group_mixing,0.2,rac1p_x_sex_worst_group_accuracy,560,-0.0016149429647982915
protected_group_mixing,0.5,rac1p_x_sex_worst_group_accuracy,560,-0.0006292074336534521
protected_group_mixing,0.1,roc_auc,560,-0.0008542514930267853
protected_group_mixing,0.2,roc_auc,560,-0.0008751004714991976
protected_group_mixing,0.5,roc_auc,560,-0.0008580963318410428
protected_group_mixing,0.1,sex_demographic_parity_diff,560,-5.939865797295555e-06
protected_group_mixing,0.2,sex_demographic_parity_diff,560,-0.00033951063669044685
protected_group_mixing,0.5,sex_demographic_parity_diff,560,0.00012875916098528485
protected_group_mixing,0.1,sex_equalized_odds_diff,560,-0.0005649673816408485
protected_group_mixing,0.2,sex_equalized_odds_diff,560,-0.000688835543048679
protected_group_mixing,0.5,sex_equalized_odds_diff,560,7.753098040141536e-05
protected_group_mixing,0.1,sex_worst_group_accuracy,560,-0.0005067681913285474
protected_group_mixing,0.2,sex_worst_group_accuracy,560,-0.00046370627668972423
protected_group_mixing,0.5,sex_worst_group_accuracy,560,-0.0006588982513364538
reweighing,0.1,accuracy,560,6.157932649402305e-05
reweighing,0.2,accuracy,560,0.00013120235527017658
reweighing,0.5,accuracy,560,0.00018923644718947107
reweighing,0.1,balanced_accuracy,560,0.00010585193875105855
reweighing,0.2,balanced_accuracy,560,0.00016374297088774764
reweighing,0.5,balanced_accuracy,560,0.00045623933491120456
reweighing,0.1,brier,560,-1.2154253638746967e-05
reweighing,0.2,brier,560,-2.7676951444551028e-05
reweighing,0.5,brier,560,-8.079083943327796e-05
reweighing,0.1,rac1p_demographic_parity_diff,560,0.0002545752732110136
reweighing,0.2,rac1p_demographic_parity_diff,560,0.0005911178876850121
reweighing,0.5,rac1p_demographic_parity_diff,560,0.002165353351773497
reweighing,0.1,rac1p_equalized_odds_diff,560,-3.3916584252436265e-05
reweighing,0.2,rac1p_equalized_odds_diff,560,0.0013348386779913335
reweighing,0.5,rac1p_equalized_odds_diff,560,0.0028339658740942557
reweighing,0.1,rac1p_worst_group_accuracy,560,-5.679568452923679e-05
reweighing,0.2,rac1p_worst_group_accuracy,560,0.0002803842972498364
reweighing,0.5,rac1p_worst_group_accuracy,560,-0.0004010589486165537
reweighing,0.1,rac1p_x_sex_demographic_parity_diff,560,0.0012204586875651166
reweighing,0.2,rac1p_x_sex_demographic_parity_diff,560,0.0013402072438845089
reweighing,0.5,rac1p_x_sex_demographic_parity_diff,560,0.002667668900759369
reweighing,0.1,rac1p_x_sex_equalized_odds_diff,560,-0.00022472699704018472
reweighing,0.2,rac1p_x_sex_equalized_odds_diff,560,0.002212135576401938
reweighing,0.5,rac1p_x_sex_equalized_odds_diff,560,0.0009062819649632615
reweighing,0.1,rac1p_x_sex_worst_group_accuracy,560,0.0002008422213957734
reweighing,0.2,rac1p_x_sex_worst_group_accuracy,560,0.0005850747412943396
reweighing,0.5,rac1p_x_sex_worst_group_accuracy,560,3.6521642294099815e-05
reweighing,0.1,roc_auc,560,9.231829139714855e-06
reweighing,0.2,roc_auc,560,5.537763656897116e-05
reweighing,0.5,roc_auc,560,8.76130846893226e-05
reweighing,0.1,sex_demographic_parity_diff,560,1.7246956659576902e-06
reweighing,0.2,sex_demographic_parity_diff,560,0.0003807827763635064
reweighing,0.5,sex_demographic_parity_diff,560,0.0006221183487375621
reweighing,0.1,sex_equalized_odds_diff,560,-0.0004490473898368782
reweighing,0.2,sex_equalized_odds_diff,560,-0.000287787578336858
reweighing,0.5,sex_equalized_odds_diff,560,-0.0010950473878767134
reweighing,0.1,sex_worst_group_accuracy,560,0.00010319302848946761
reweighing,0.2,sex_worst_group_accuracy,560,0.00024887403925823013
reweighing,0.5,sex_worst_group_accuracy,560,0.0002312863060967187
threshold_optimizer_eo,0.1,accuracy,560,0.0016363928083900148
threshold_optimizer_eo,0.2,accuracy,560,-0.0030973981635387736
threshold_optimizer_eo,0.5,accuracy,560,-0.007367991089641864
threshold_optimizer_eo,0.1,balanced_accuracy,560,0.008083192553316422
threshold_optimizer_eo,0.2,balanced_accuracy,560,0.0022832345942407624
threshold_optimizer_eo,0.5,balanced_accuracy,560,-0.013240992125240067
threshold_optimizer_eo,0.1,brier,560,-0.0016363928083900161
threshold_optimizer_eo,0.2,brier,560,0.0030973981635387753
threshold_optimizer_eo,0.5,brier,560,0.007367991089641869
threshold_optimizer_eo,0.1,rac1p_demographic_parity_diff,560,0.02002236784584937
threshold_optimizer_eo,0.2,rac1p_demographic_parity_diff,560,0.005041198425340762
threshold_optimizer_eo,0.5,rac1p_demographic_parity_diff,560,-0.0012757917844740737
threshold_optimizer_eo,0.1,rac1p_equalized_odds_diff,560,0.025981044211905033
threshold_optimizer_eo,0.2,rac1p_equalized_odds_diff,560,0.006231668810526719
threshold_optimizer_eo,0.5,rac1p_equalized_odds_diff,560,-0.011880126524870055
threshold_optimizer_eo,0.1,rac1p_worst_group_accuracy,560,0.010108336513618444
threshold_optimizer_eo,0.2,rac1p_worst_group_accuracy,560,-0.007715631908361624
threshold_optimizer_eo,0.5,rac1p_worst_group_accuracy,560,-0.012370372722587696
threshold_optimizer_eo,0.1,rac1p_x_sex_demographic_parity_diff,560,0.021050842460017222
threshold_optimizer_eo,0.2,rac1p_x_sex_demographic_parity_diff,560,0.01158704960695804
threshold_optimizer_eo,0.5,rac1p_x_sex_demographic_parity_diff,560,-0.007214797129217708
threshold_optimizer_eo,0.1,rac1p_x_sex_equalized_odds_diff,560,0.027474936174773514
threshold_optimizer_eo,0.2,rac1p_x_sex_equalized_odds_diff,560,0.011582355469161802
threshold_optimizer_eo,0.5,rac1p_x_sex_equalized_odds_diff,560,-0.025520039896511953
threshold_optimizer_eo,0.1,rac1p_x_sex_worst_group_accuracy,560,0.0091402629021261
threshold_optimizer_eo,0.2,rac1p_x_sex_worst_group_accuracy,560,-0.009491396514227882
threshold_optimizer_eo,0.5,rac1p_x_sex_worst_group_accuracy,560,-0.013065053759957007
threshold_optimizer_eo,0.1,roc_auc,560,0.008083192553316416
threshold_optimizer_eo,0.2,roc_auc,560,0.0022832345942407645
threshold_optimizer_eo,0.5,roc_auc,560,-0.01324099212524007
threshold_optimizer_eo,0.1,sex_demographic_parity_diff,560,0.001838727795603176
threshold_optimizer_eo,0.2,sex_demographic_parity_diff,560,0.0013082001186922696
threshold_optimizer_eo,0.5,sex_demographic_parity_diff,560,-0.00416066387399254
threshold_optimizer_eo,0.1,sex_equalized_odds_diff,560,0.002027602421668995
threshold_optimizer_eo,0.2,sex_equalized_odds_diff,560,0.0006070178417249521
threshold_optimizer_eo,0.5,sex_equalized_odds_diff,560,-0.002495147596529678
threshold_optimizer_eo,0.1,sex_worst_group_accuracy,560,0.0016817102795047532
threshold_optimizer_eo,0.2,sex_worst_group_accuracy,560,-0.003113193753333693
threshold_optimizer_eo,0.5,sex_worst_group_accuracy,560,-0.008900969963088817
